Stock Number,Model Number,Additional Descriptions
1004933,IJ-883P,"We built this parallelogram jointer to meet the highest standards of safety and accuracy. An 83"" bed and 8” width let you easily cut flat surfaces and prepare edges for joining.
 

*3 hp motor can handle even the toughest woods.
*Runs on 220-volt single-phase power, so you can use it just about anywhere.
*Cutter head spins at 5,000 rpm.
*Extra-long 83"" bed gives you support when handling large pieces of material.
*Built-in rabbeting ledge helps you easily make grooves down the sides of boards for edge joining.
*5.5” x 48” fence has positive stops at 45° and 90°.
*Non-mar insert allows the fence to avoid scratching the table surface during adjustments.
*You can quickly adjust the cut depth up to 1/8” by turning a convenient handwheel.
*Parallelogram design moves the table edge in an arc around the cutter head, keeping the gap consistent, no matter the cut depth.
*This style of jointer helps prevent accidents, like tipping a board into the gap between the cutter and the table or getting your hand caught in there.
*Design ensures that the table remains perfectly parallel, even after years of use.
*4” dust port conveniently hooks up to your dust collection system, so your shop stays neat and clean.
*Base includes linear wheels, enabling you to easily move the machine.
*Covered by a 1-year parts warranty.
*Replacement parts are usually in stock so we can get them to you quickly.
*We provide lifetime technical support by phone from a team of woodworking experts.

 
Questions? Not sure which machine is right for you? Call us at 1-920-684-4990 and talk to a knowledgeable Baileigh representative."
1004935,IP-156,"Even our most economical planer offers 2 speeds, a large cast iron table, and the best safety features. Built to last, this 15”-wide planer is perfect for hobbyists and shops on a budget.

*Robust 3 hp motor turns the cutter head at 5,000 rpm.
*Straight 3-knife cutter head comes standard.
*6” maximum cutting height.
*Up to ⅛” cut depth.
*Runs on 220-volt single-phase power. You can use this planer almost anywhere.
*Switch between 2 infeed speeds:
*20 feet per minute to remove a lot of material quickly.
*16 feet per minute to give you a smoother finish (or to handle harder or chip-prone material more cautiously).
*15” x 20” main table includes front and back cast iron wing extensions that can expand to 15” x 48”.
*Large table keeps the board flat and straight for dependably true cuts.
*Anti-kickback fingers help prevent accidents by gripping a piece of wood if it jams the machine.
*Magnetic starter switch automatically shuts down the planer if there’s a problem with current, like a power surge.
*Fully-enclosed steel stand reduces vibrations and maintains accuracy over many years of daily use.
*Integrated wheels on the base allow you to move the planer easily.
*4” dust port can hook up to your dust collection system so your shop stays neat and clean.
*Covered by a 1-year parts warranty.
*We stock replacement parts, so we can get them to you quickly.
*You can rely on lifetime technical support by phone. Call our team of experienced woodworkers when you need help or project advice.

We recommend adding a spiral cutter head with rotatable carbide teeth that stay sharp longer.
Questions? Not sure which machine is right for you? Call us at 1-920-684-4990 and talk to a knowledgeable Baileigh representative."
1004940,IP-208,"This 20”-wide thickness planer can quickly turn rough lumber into boards with smooth faces. Heavy cast iron and steel construction keeps the material steady and supported.

*5 hp motor turns the cutter head at a whopping 5,000 rpm.
*Straight 4-knife cutter head comes standard.
*Runs on 220-volt single-phase power, so it can work almost anywhere.
*Fully cast iron 20” x 25.75” table with 15” extensions can expand to an impressive 20” x 55.75”.
*2 speeds allow you to pick what’s right for your project: 
*20 feet per minute when you need to smooth boards in shorter amount of time.
*16 feet per minute when you want a more refined finish or you’re working with tougher material.
*8” maximum and .25” minimum cutting height.
*Maximum ⅛” cut depth.
*Handwheel with a scale on the side of the planer lets you precisely adjust the height in seconds.
*Cast iron frame on the top and bottom stabilizes the machine and helps it last longer.
*Magnetic safety switch automatically turns the machine off in case of a power outage or a problem with the current.
*Anti-kickback fingers grip the material so it’s less likely to shoot back out if the blades get jammed.
*Extra-large 5” dust port prevents clogging. You can easily hook up your dust collection system, so your shop stays clean with breathable air.
*Built-in wheels on the base allow you to move the machine around your shop and store it.
*Covered by a 1-year parts warranty.
*Replacement parts are in stock at our Wisconsin warehouse for fast shipping.
*Lifetime technical support by phone means that you can call our team of experienced woodworkers whenever you have questions or need troubleshooting.

We recommend adding a spiral cutter head with rotatable carbide teeth that stay sharp longer.
Questions? Not sure which machine is right for you? Call us at 1-920-684-4990 and talk to a knowledgeable Baileigh representative."
1004942,IP-2509-HD,"Designed for fast, consistent, low-effort production, this 25” industrial planer lets you set the bed height through a programmable logic controller. No more turning a handwheel to find your thickness!
*10 hp motor has enough muscle to smooth full 25” boards.
*Spiral cutter head (included) spins at 5,000 rpm.
*Rows of rotatable carbide blades make the spiral cutter head last much longer and work more quietly than a straight-knife cutter.
*Runs on 220-volt single-phase power, so you can use this sophisticated machine in almost any shop.
*Can smooth off up to .25” of material at one time.
*Variable speed from 20 to 30 feet per minute, so you can finetune to get the exact speed you need for your material and finish.
*25” x 32” main cast iron table expands to an even larger 25” x 57”, supporting your material and helping you create straight, smooth boards.
*Programmable controller makes it simple to set the height. Just enter what you want, and the bed automatically moves to that setting.
*Controller includes automatic backlash compensation to produce exact, repeatable thicknesses.
*Segmented steel infeed roll allows you to smooth multiple boards with different heights at once, increasing your productivity.
*Durable dual steel outfeed roll moves boards along to the cutting head.
*You can set the quick-adjust bed rolls high to reduce friction on rough-sawn stock, or adjust them lower for straighter, smoother results.
*Segmented chip breaker prevents large chips or strips of wood from clogging up the machine or your dust collector.
*Solid iron pressure bar applies even force across the boards to avoid chipping.
*Anti-kickback fingers grip the material so it’s less like to shoot back out if there’s a problem at the cutter head.
*Oversized bearing housings ensure quiet performance and long life.
Covered by a 1-year parts warranty.
*We keep replacement parts in stock at our Wisconsin warehouse so we can get them to you quickly.
*You can rely on lifetime technical support by phone from our woodworking experts, all of whom have used our machines and know them top to bottom.

Questions? Not sure which machine is right for you? Call us at 1-920-684-4990 and talk to a knowledgeable Baileigh representative."
1004968,JP-1898-NC,"Built from steel and cast iron, this numerically controlled 18” jointer/planer saves space and does the work of 2 machines without compromising on quality.

*7.5 hp motor has enough strength to cut and smooth 18” boards.
*4.75” helical cutter head (included) spins at 5,700 rpm.
*6 rows of rotatable carbide blades on the spiral cutter head will remain sharp for much longer than a straight-knife cutter could.
*Baileigh JP-1898-NC jointer planer runs on 220-volt 3-phase power.
*98” table supports your boards, ensures true, straight cuts.
*Digital controller lets you adjust the height of the 63” x 18” jointer table.
*Programmable system for the planer lets you enter your desired spacing, and machine takes care of the rest.
*Control panels with big stop and start buttons are simple to use.
*Parallelogram-style jointer bed helps prevent accidents by maintaining a tight, uniform gap between the table and the cutter—regardless of the table height.
*5/16” maximum cutting depth at the jointer station.
*Fence can tilt up to 45° for edge joining.
*71” x 18” planer table (with a large resting area on both sides) makes it easier for you to maneuver the material.
*Variable infeed speed from 16 to 50 feet per minute lets you finetune to fit the wood you’re working with and get a better finish.
*Rubber infeed and outfeed rollers reduce friction and keep boards moving smoothly.
*2 large 6” dust ports, one for each function, can connect to your dust collector so your shop stays pristine with safe, breathable air.
*This digital planer is covered by a 1-year parts warranty.
*Replacement parts are in stock at our Wisconsin warehouse. We can get them to you without delay.
*You can count on lifetime technical support by phone from a team of experience woodworkers, all of whom know our machines inside and out.

Order this heavy-duty jointer planer today!

Questions? Not sure which machine is right for you? Call us at 1-920-684-4990 and talk to a knowledgeable Baileigh representative."
1005907,OS-1414,"This space-saving benchtop spindle sander lets you smooth radii with ease and accuracy. The OS-1414 bench top sander has a long-lasting cast iron table, unlike most small wood sanders on the market.

*Runs on 110-volt power. Plug it into any household outlet.
*Spins at 1,720 rpm.
*Oversized 14” x 14” cast iron table stays true and level over many years of use. It won’t wobble or “walk” like aluminum tables.
*Table can tilt 45° to the front.
*Comes with 5 spindle sizes: ¼”, ½“, ⅝“, 1½”, and 2”.
*Supplied wrench makes spindle changes easy.
*Drum both spins and oscillates up and down a total of 15/16” for improved sandpaper life.
*Spindle accepts standard 4” sandpaper sheets. You can buy replacements at any store that carries woodworking supplies.
*Weighs 85 lbs.—solid but movable for convenient storage.
*Covered by a 1-year parts warranty.
*We keep replacement parts in stock for fast shipping.
*Includes lifetime technical support by phone. Call us and speak directly with our experienced customer service team.

Questions about this table top sander? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1005908,OS-2424,"Built with a rigid steel frame and a 24” x 24” cast iron table, this floor-style oscillating spindle sander is a heavy-duty professional shop machine. It comes with 10 spindle sizes, from ¼” to 4”.

*Runs on 110-volt power. Plug it into any household outlet.
*1 hp motor spins the spindle at 1,725 rpm.
*Oscillating spindle moves up and down 1½” to create an extremely smooth finished surface.
*Precision-ground 2 foot x 2 foot cast iron table remains square and level through many years of use.
*Cast iron table won’t warp like aluminum tables found on competing models.
*Table tilts up to 45° with a scale for repeatability.
*Comes with 10 different spindle sizes (see below) to provide the most sanding choices in one package.
*Heavy steel frame stabilizes the machine for greater accuracy.
*Weighs 320 lbs., so you know you’re getting one solidly built wood sander.
*4” dust hood helps trap particles, keeping your shop air clean and safe.
*Accepts standard sized belts, so you can find replacements easily.
*This oscillating drum sander is covered by a 1-year parts warranty.
*Replacement parts are in stock at our Wisconsin headquarters, so we can ship them out to you quickly.
*We offer lifetime technical support by phone. Call us and talk to a customer service rep with hands-on woodworking experience.

Included spindle sizes:

*¼” x 6”
*⅜” x 6”
*½” x 6”
*⅝” x 6”
*¾” x 9”
*1” x 9”
*1½” x 9”
*2” x 5½”
*3” x 9”
*4” x 9”

Questions? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1007013,SD-174,"This 17”-wide drum sander can save money for small businesses and serious hobbyists who want to avoid the expense of a planer.

*4” thick maximum capacity across the full 17” width.
*6” minimum stock length.
*5” drum runs at 1,725 fpm, making fast work of any project.
*Runs on a 110-volt 1.5 hp motor, so you can plug the sander in almost anywhere.
*Adjust the finish height, displayed on an easy-to-read scale, by turning the crank handle.
*Variable-speed rubber conveyor makes feeding a breeze.
*Convenient sandpaper changes: just lift up the access door on top to reveal the sanding drum.
*Accepts standard sandpaper sizes that you can find in most hardware stores.
*You can choose from many different abrasive options, including different grits and paper widths. Larger papers give you less seam and better quality.
*Rigid, heavy-duty stamped steel stand stabilizes the machine and maintains accuracy over many years.
*Includes a 4” dust port to connect with your dust collector, trap particles, and keep your air clean.
*Replacement parts are kept in stock at our Wisconsin headquarters for fast shipping.
*Covered by a 1-year parts warranty.
*We offer lifetime technical support by phone. Call our team of reps, all of whom have hands-on experience using our machines.

Questions? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1007014,SD-255,"This 25”-wide heavy-duty drum sander is a perfect choice for small businesses and hobbyists that are sanding panels around 3 to 5 hours a day. It’s an economical alternative to a planer.
 
*Maximum thickness of 5” and minimum of ¼”.
*Dual 5” sanding drums turns at 1,800 rpm.
*Variable speed conveyor can adjust from 6 to 24 feet per minute.
*3 hp main motor runs on 220-volt single-phase power.
*Convenient adjustment screw ensures that the sanding drum stays parallel to the conveyor belt.
*Easy-to-access drums allow for convenient sandpaper changes.
*Includes 2 dust ports (4”) that you can hook up to a dust collector to keep your shop air clean and safe.
*2 drums let you use different abrasives at once: for instance, 120 grit for taking material off, then 220 grit to refine the surface.
*Rigid steel base keeps vibrations down to a minimum. Most competitors can’t match the sheer structural strength of our sanders.
*Covered by a 1-year parts warranty.
*We keep replacement parts in stock for fast shipping from our Wisconsin headquarters.
*You can count on lifetime technical support by phone from our team of experts, all with hands-on machine experience.
 
Questions? Not sure which wood sander is right for you? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1007609,SS-3528,"The SS-3528 spindle shaper from Baileigh Industrial is a great  addition to any shop.  This is the first  in the 3528 series and is the most economical in the series.  This spindle shaper is powered by a 5 hp 220  volt single phase motor that offers four spindle speeds.  Speeds are changed by selecting the  appropriate belt for the speed desired.   Speeds offered are 3600, 5100, 8000, and 10000 rpm.  The SS-3528 includes 3 spindles, ¾”, 1” and  1-1/4” all with corresponding inserts.
The precision machined 28” x 35” table has a working height of  35”, making it very comfortable to work on.   The SS-3528 also comes with all table hardware and fences for accurate  placement of material.  A 4” dust port is also standard on this 5 hp shaper. Order this spindle shaper cutter today."
1007610,SS-3528-S,"The SS-3528-S wood spindle shaper from Baileigh Industrial is based on the SS-3528 and a great addition to any shop.  This is the first in the 3528 series that  offers a sliding table to reduce material marring from pushing through the  spindle. The SS-3528-S sliding table shaper is powered by a 5 hp 220-volt single phase motor that offers four spindle speeds.   Speeds are changed by selecting the appropriate belt for the speed  desired.  Speeds offered are 3600, 5100,  8000, and 10000 rpm.  The SS-3528  includes 3 spindles, ¾”, 1” and 1-1/4” all with corresponding inserts.
The precision machined 28” x 35” sliding table has a working  height of 35”, making it very comfortable to work on.  The sliding function is handled by heavy duty  roller bearings for smooth action.  The  SS-3528-S also comes with all table hardware and fences for accurate placement  of material and even an angel miter gauge. A 4” dust port is also standard.   Contact a Baileigh Industrial representative  for more information on the line of spindle shapers."
1007611,SS-3528-ST,"The SS-3528-ST heavy duty shaper has the most features of the 3528  line of spindle shapers.  This unique  machine has a sliding table as well as a tilting spindle for more profiles that  can be imagined.  Because of these  features the SS-3528-ST is the best option for professional woodworking shops  everywhere.  The spindle will tilt to an  aggressive 45 degrees.
The SS-3528-ST offers a sliding table to reduce material marring  from pushing through the spindle. The SS-3528-ST spindle shaper is powered by a  5 hp 220 volt single phase motor that offers four spindle speeds.  Speeds are changed by selecting the  appropriate belt for the speed desired.   Speeds offered are 3600, 5100, 8000, and 10000 rpm.  The SS-3528-ST includes 3 spindles, ¾”, 1”  and 1-1/4” all with corresponding inserts.  
The precision machined 28” x 35” sliding table has a working  height of 35”, making it very comfortable to work on.  The sliding function is handled by heavy duty  roller bearings for smooth action.  The SS-3528-S  also comes with all table hardware and fences for accurate placement of  material and even an angel miter gauge.   A 4” dust port is also standard.   Contact a Baileigh Industrial representative  for more information on the line of heavy duty spindle shapers."
1007612,SS-3528-T,"The SS-3528-T was built to withstand the  rigors of industrial wood working production|| this impressive shaper will  literally cut more profiles than you can think of. Based off of the SS-3528,  this unique tilting spindle shaper will add even more variety and utility to  your shaping operations and the conveniently located controls and adjustments  make it a safe and easy machine to use and enjoy. 
The SS-3528-T tiltiing spindle shaper is powered by a 5 hp 220  volt single phase motor that offers four spindle speeds.  Speeds are changed by selecting the  appropriate belt for the speed desired.   Speeds offered are 3600, 5100, 8000, and 10000 rpm.  The SS-3528 includes 3 spindles, ¾”, 1” and  1-1/4” all with corresponding inserts.
The precision machined 28” x 35” table has a working height of  35”, making it very comfortable to work on.   The SS-3528-T also comes with all table hardware and fences for accurate  placement of material and even an angel miter gauge.  A 4” dust port is also standard.   Contact a Baileigh Industrial representative  for more information on the line of spindle shapers."
1007692,STS-14120,"Need to cut thousands of feet of board over 3 daily shifts? This 7.5 hp industrial table saw will deliver accurate results every time. One operator can easily handle 10-foot wood panels. Order this sliding table saw online today!

*Simplest and most economical of our STS-14120 models.
*Choose from 3 blade speeds (3,000, 4,000, and 5,000 rpm) depending on the hardness and thickness of your material.
*7.5 hp motor runs on 220-volt 3-phase power.
*Standard 12” blade turns on 1” arbor.
*Also accepts a huge 14” blade without modification.
*Includes fences for rip cuts, crosscuts, and angle or miter cuts.
*1 hp scoring blade spins at 8,000 rpm to ensure a crisp, clean cut without frayed or ripped edges.
*Scoring blade saves you time. No extra work sanding edges after a cut.
*Huge 15” x 125” sliding table slides on 4 precision shafts for jitter-free motion.
*Table is made of fully-extruded, anodized aluminum that will stay square and true over many years of use.
*The table moves so smoothly that you can slide a whole sheet of 4 x 8 material without ever thinking there’s weight on it.
*Steel handwheel allows you to tilt the blade and incorporates a digital readout (DRO) for telling you the angle.
*Rugged all-steel base stabilizes the machine and reduces vibrations for flawless accuracy and alignment.
*Durable cast steel trunnion has heavy boxed (not dovetailed) ways.
*CSA certified.
*Includes a safety blade guard with a tension system for lifting and lowering the guard without moving it from side to side.
*4” dust port lets you hook up an extraction system to keep you shop clean.
*The Sliding Table Saw STS-14120 is covered by a 1-year parts warranty.
*You can count on lifetime technical support by phone. Our team of knowledgeable customer reps are here to help.

Recommended for: 

*Industrial production, especially cabinetry manufacturers, lumber liquidators, and railroad yards.
*Crews of experienced shift-workers who are comfortable measuring for repeatability and don’t need to rely on DROs or programming. 

We also offer a Sliding Panel Saw.

Available in 2 other versions: STS-14120-DRO (with digital readouts on fences) and STS-14120-CNC (with a programmable CNC system).
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1007694,STS-14120-DRO,"This industrial table saw has the robust structure and power to cut thousands of feet of board per day. Digital readouts on the fences help you save time and make repeatable cuts.

*Sliding design lets just 1 operator can handle 10-foot panels.
*Switch from a 2-person saw and make your shop more efficient.
*Choose from 3 blade speeds (3,000, 4,000, and 5,000 rpm) depending on the hardness and thickness of your material.
*7.5 hp motor runs on 220-volt 3-phase power.
*Comes with a standard 12” blade that turns on 1” arbor.
*Also accepts a huge 14” blade without modification.
*Includes fences for rip cuts, crosscuts, and angle or miter cuts.
*Digital readout on the rip fence lets you make repeatable cuts without having to lose time measuring lengths.
*Crosscut fence offers 2 DROs (one for the main gantry fence and one for the extension).
*1 hp scoring blade spins at 8,000 rpm to ensure a crisp, clean cut without frayed or ripped edges.
*Scoring blade saves you time. No extra work sanding edges after a cut.
*Huge 15” x 125” sliding table slides on 4 precision shafts for jitter-free motion.
*Table is made of fully-extruded, anodized aluminum that will stay square and true over many years of use.
*Sliding table moves so smoothly that you can slide a whole sheet of 4 x 8 material without thinking there’s weight on it.
*Steel handwheel allows you to tilt the blade and incorporates a digital readout (DRO) to tell you the angle.
*Rugged all-steel base stabilizes the machine and reduces vibrations for flawless accuracy and alignment.
*Durable cast steel trunnion has heavy boxed (not dovetailed) ways.
*CSA certified.
*Includes a safety blade guard with a tension system for lifting and lowering the guard without moving it from side to side.
*4” dust port lets you hook up an extraction system to keep your shop clean.
*Covered by a 1-year parts warranty.
*You can count on lifetime technical support by phone. Our team of knowledgeable customer reps are here to help.

Recommended for: Industrial production, especially cabinetry manufacturers, lumber liquidators, and railroad yards.
Available in 2 other versions: STS-14120 (without a digital readout) and STS-14120-CNC (with a programmable CNC system).
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
